objectFilename,objectUrl,objectFileSize,objectId,objectDescription,objectType
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00001.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00001.jpg,911845,173911559,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00002.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00002.jpg,842613,173911560,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00003.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00003.jpg,462391,173911561,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00004.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00004.jpg,539356,173911562,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00005.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00005.jpg,630321,173911563,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00006.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00006.jpg,1130721,173911564,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00007.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00007.jpg,1207586,173911565,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00008.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00008.jpg,1179817,173911566,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00009.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00009.jpg,723824,173911567,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00010.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827/12-0888_US-MD_Slave-Manifests-of-Roll-4-%28Old-Roll-6%29-Inward-1826-1827_00010.jpg,699674,173911568,Image provided by FamilySearch.,Image (JPG)
