objectFilename,objectUrl,objectFileSize,objectId,objectDescription,objectType
32847_1020705388_0002-00000.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00000.jpg,1006760,119891375,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0002-00001.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00001.jpg,2910900,119891376,"Ship Name: Schooner, 1838 Apr 11. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0002-00002.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00002.jpg,3158165,119891377,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0002-00003.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00003.jpg,3329237,119891378,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0002-00004.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00004.jpg,3455898,119891379,"Ship Name: Swan, 1838 May 2. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0002-00005.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00005.jpg,3803382,119891380,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0002-00006.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00006.jpg,3626599,119891381,"Ship Name: Mills, 1838 May 3. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0002-00007.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00007.jpg,3412755,119891382,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0002-00008.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00008.jpg,3508960,119891383,"Ship Name: Caroline, 1838 May 4. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0002-00009.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0002/32847_1020705388_0002-00009.jpg,3129044,119891384,Image provided by Ancestry.,Image (JPG)
