objectFilename,objectUrl,objectFileSize,objectId,objectDescription,objectType
32847_1020705388_0019-00000.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00000.jpg,1132844,119901811,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00001.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00001.jpg,3776660,119901812,"Ship Name: Oregon, 1846. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00002.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00002.jpg,3855626,119901813,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00003.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00003.jpg,3439514,119901814,"Ship Name: Oregon, 1846 Nov 4. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00004.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00004.jpg,3866624,119901815,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00005.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00005.jpg,2290934,119901816,"Ship Name: Montegiove, 1846. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00006.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00006.jpg,3741873,119901817,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00007.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00007.jpg,2410960,119901818,"Ship Name: Oregon, 1846. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00008.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00008.jpg,3802390,119901819,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00009.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00009.jpg,3618180,119901820,"Ship Name: Oregon, 1846 Nov 16. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00010.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00010.jpg,3658908,119901821,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00011.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00011.jpg,3245125,119901822,"Ship Name: Oregon, 1846 Nov 21. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00012.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00012.jpg,3726691,119901823,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00013.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00013.jpg,3590186,119901824,"Ship Name: Creole, 1846. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00014.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00014.jpg,3501625,119901825,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00015.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00015.jpg,3229696,119901826,"Ship Name: Oregon, 1846. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00016.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00016.jpg,1955508,119901827,"Ship Name: Oregon, 1846. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00017.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00017.jpg,2421409,119901828,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00018.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00018.jpg,3728886,119901829,Image provided by Ancestry.,Image (JPG)
32847_1020705388_0019-00019.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00019.jpg,3600608,119901830,"Ship Name: Oregon, 1846 Nov 25. Image provided by Ancestry.",Image (JPG)
32847_1020705388_0019-00020.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships/32847/0001/DD01562/32847_1020705388_0019/32847_1020705388_0019-00020.jpg,3896286,119901831,Image provided by Ancestry.,Image (JPG)
