objectFilename,objectUrl,objectFileSize,objectId,objectDescription,objectType
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00001.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00001.jpg,902718,173890860,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00002.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00002.jpg,822871,173890861,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00003.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00003.jpg,464948,173890862,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00004.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00004.jpg,532329,173890863,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00005.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00005.jpg,589394,173890864,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00006.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00006.jpg,1124262,173890865,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00007.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00007.jpg,1193310,173890866,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00008.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00008.jpg,1190894,173890867,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00009.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00009.jpg,677332,173890868,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00010.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00010.jpg,649533,173890869,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00011.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00011.jpg,564856,173890870,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00012.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00012.jpg,340309,173890871,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00013.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00013.jpg,172299,173890872,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00014.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00014.jpg,151722,173890873,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00015.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00015.jpg,272940,173890874,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00016.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00016.jpg,356603,173890875,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00017.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00017.jpg,328652,173890876,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00018.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00018.jpg,428053,173890877,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00019.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00019.jpg,467868,173890878,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00020.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00020.jpg,452742,173890879,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00021.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00021.jpg,521085,173890880,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00022.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00022.jpg,396851,173890881,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00023.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00023.jpg,383252,173890882,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00024.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00024.jpg,462794,173890883,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00025.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00025.jpg,384784,173890884,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00026.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00026.jpg,368857,173890885,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00027.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00027.jpg,466443,173890886,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00028.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00028.jpg,374212,173890887,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00029.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00029.jpg,355602,173890888,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00030.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00030.jpg,460262,173890889,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00031.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00031.jpg,389964,173890890,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00032.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00032.jpg,379534,173890891,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00033.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00033.jpg,451390,173890892,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00034.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00034.jpg,366565,173890893,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00035.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00035.jpg,367108,173890894,Image provided by FamilySearch.,Image (JPG)
12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00036.jpg,https://s3.amazonaws.com/NARAprodstorage/lz/partnerships-0003/16-0922_US-NE_0001/0001/12-0888_US-MD_207/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828/12-0888_US-MD_Slav-Roll-19-%28Old-Roll-3A%29-Outward-Jan-1828-28-Oct-1828_00036.jpg,454323,173890895,Image provided by FamilySearch.,Image (JPG)
